storage,coal_price,energy_price,action
0,190,110,"(False, False)"
0,190,120,"(False, False)"
0,190,130,"(False, False)"
0,190,140,"(False, False)"
0,190,150,"(False, False)"
0,190,160,"(False, False)"
0,190,170,"(False, False)"
0,190,180,"(False, False)"
0,190,190,"(False, False)"
0,190,200,"(False, False)"
0,190,210,"(False, False)"
0,190,220,"(False, False)"
0,190,230,"(False, False)"
0,190,240,"(False, False)"
0,190,250,"(False, False)"
0,190,260,"(False, False)"
0,190,270,"(False, False)"
0,190,280,"(False, False)"
0,190,290,"(False, False)"
0,190,300,"(False, False)"
0,200,10,"(False, False)"
0,200,20,"(False, False)"
0,200,30,"(False, False)"
0,200,40,"(False, False)"
0,200,50,"(False, False)"
0,200,60,"(False, False)"
0,200,70,"(False, False)"
0,200,80,"(False, False)"
0,200,90,"(False, False)"
0,200,100,"(False, False)"
0,200,110,"(False, False)"
0,200,120,"(False, False)"
0,200,130,"(False, False)"
0,200,140,"(False, False)"
0,200,150,"(False, False)"
0,200,160,"(False, False)"
0,200,170,"(False, False)"
0,200,180,"(False, False)"
0,200,190,"(False, False)"
0,200,200,"(False, False)"
0,200,210,"(False, False)"
0,200,220,"(False, False)"
0,200,230,"(False, False)"
0,200,240,"(False, False)"
0,200,250,"(False, False)"
0,200,260,"(False, False)"
0,200,270,"(False, False)"
0,200,280,"(False, False)"
0,200,290,"(False, False)"
0,200,300,"(False, False)"
1000,10,10,"(False, False)"
1000,10,20,"(False, False)"
1000,10,30,"(False, False)"
1000,10,40,"(False, False)"
1000,10,50,"(False, False)"
1000,10,60,"(False, False)"
1000,10,70,"(False, False)"
1000,10,80,"(False, False)"
1000,10,90,"(False, False)"
1000,10,100,"(False, False)"
1000,10,110,"(False, False)"
1000,10,120,"(False, False)"
1000,10,130,"(False, True)"
1000,10,140,"(False, True)"
1000,10,150,"(False, True)"
1000,10,160,"(False, True)"
1000,10,170,"(False, True)"
1000,10,180,"(False, True)"
1000,10,190,"(False, True)"
1000,10,200,"(False, True)"
1000,10,210,"(False, True)"
1000,10,220,"(False, True)"
1000,10,230,"(False, True)"
1000,10,240,"(False, True)"
1000,10,250,"(False, True)"
1000,10,260,"(False, True)"
1000,10,270,"(False, True)"
1000,10,280,"(False, True)"
1000,10,290,"(False, True)"
1000,10,300,"(False, True)"
1000,20,10,"(False, False)"
1000,20,20,"(False, False)"
1000,20,30,"(False, False)"
1000,20,40,"(False, False)"
1000,20,50,"(False, False)"
1000,20,60,"(False, False)"
1000,20,70,"(False, False)"
1000,20,80,"(False, False)"
1000,20,90,"(False, False)"
1000,20,100,"(False, False)"
1000,20,110,"(False, False)"
1000,20,120,"(False, False)"
